Reference,Value,Footprint,Manufacturer,MPN,Supplier,SPN,Qty,Price/Pce,Price,Type/Total
"C1,C2",100uF,SMD 6.3,Nichicon,UWT1V101MCL1GS,Digikey,493-2203-1-ND,2, CHF 0.34 , CHF 0.68 ,PCB
"J2,J3",Conn_01x04_Pin,Pin Header 2.54mm,Samtec Inc.,TS-108-G-A,Digikey,612-TS-108-G-A-ND,2, CHF 2.46 , CHF 2.46 ,
J4,Screw_Terminal_01x02,Screw Terminal 5mm,Same Sky (Formerly CUI Devices),TB002-500-02BE,Digikey,102-6145-ND,1, CHF 0.26 , CHF 0.26 ,
R1,1k,1206,YAGEO,RC1206FR-071KL,Digikey,311-1.00KFRCT-ND,1, CHF 0.08 , CHF 0.08 ,
R3,51k,1206,YAGEO,RC1206JR-0751KL,Digikey,311-51KERCT-ND,1, CHF 0.08 , CHF 0.08 ,
R4,10k,1206,YAGEO,RC1206FR-0710KL,Digikey,311-10.0KFRCT-ND,1, CHF 0.08 , CHF 0.08 ,
SW1,SW_SPDT,-,C&K,OS102011MS2QN1,Digikey,CKN9565-ND,1, CHF 0.65 , CHF 0.65 ,
U1,~,-,Joy-It,MPU6050,Conrad,2136256 - UP,1, CHF 4.53 , CHF 4.53 ,
U2,~,-,Espressif,ESP32-DEV-30P,Distrelec,304-89-812,1, CHF 16.93 , CHF 16.93 ,
"U3,U4",~,-,BigTechTree,TMC2226,3D Jake,ĀBIQU-1020000203,2, CHF 7.70 , CHF 15.40 ,
U5,TSR1-2450E,-,Traco Power,TSR 1-2450E,Distrelec,302-25-003,1, CHF 4.20 , CHF 4.20 ,
-,PCB,-,JLCPCB,-,JLCPCB,-,5, CHF 1.40 , CHF 7.00 , CHF 52.35 
